Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Orzhov Signet,BRC,The Brothers' War Commander,154,normal,common,1,75728,b99cac18-281d-437f-ae34-87a10b92c6e9,0.25,false,false,near_mint,en,USD
Bronze Guardian,BRC,The Brothers' War Commander,70,normal,rare,1,75906,f8b4a39f-d428-47c4-ab4c-452327607aab,0.39,false,false,near_mint,en,USD
Thopter Spy Network,BRC,The Brothers' War Commander,97,normal,rare,1,75817,d85d7885-8c2b-44e9-aa78-40471de15f71,0.32,false,false,near_mint,en,USD
Cranial Plating,BRC,The Brothers' War Commander,136,normal,uncommon,1,75436,4b2253d5-f58c-4618-be1e-16e1808806fb,0.2,false,false,near_mint,en,USD
"Losheel, Clockwork Scholar",BRC,The Brothers' War Commander,73,normal,rare,1,75635,92bc35a8-1337-43da-a002-71f5a85e8853,2.96,false,false,near_mint,en,USD
Angel of the Ruins,BRC,The Brothers' War Commander,68,normal,rare,1,75908,f95bbb9b-aeae-4c3d-9106-3bb4cd8140c2,0.27,false,false,near_mint,en,USD
March of Progress,BRC,The Brothers' War Commander,8,normal,rare,1,75704,ac2da0e8-cdc5-4ffc-8a5e-893c34b7dd45,0.23,false,false,near_mint,en,USD
Plains,BRC,The Brothers' War Commander,30,normal,common,2,75411,410d728f-c4fb-4681-9412-48c21976ed3d,0.13,false,false,near_mint,en,USD
Tempered Steel,BRC,The Brothers' War Commander,76,normal,rare,1,75302,143cf473-681c-41b3-8719-55b878382368,0.33,false,false,near_mint,en,USD
Exotic Orchard,BRC,The Brothers' War Commander,185,normal,rare,1,75645,95d63eac-469f-454f-a575-7f19abb554cf,0.3,false,false,near_mint,en,USD
Myr Battlesphere,BRC,The Brothers' War Commander,151,normal,rare,1,75842,e225aa6b-bcf0-4672-8c95-b18e39e0b826,0.3,false,false,near_mint,en,USD
"Sanwell, Avenger Ace",BRC,The Brothers' War Commander,5,normal,rare,1,75539,70cb4359-8e57-4d1a-bf1f-c188555376ce,0.14,false,false,near_mint,en,USD
Prairie Stream,BRC,The Brothers' War Commander,193,normal,rare,1,75311,18baf8cd-ed0f-41fd-9295-3affee8a5bbc,0.21,false,false,near_mint,en,USD
Steel Hellkite,BRC,The Brothers' War Commander,163,normal,rare,1,75782,cbc13ed2-8f89-493d-89ee-fe73a333e59c,0.2,false,false,near_mint,en,USD
Wire Surgeons,BRC,The Brothers' War Commander,10,normal,rare,1,75511,6590bb3c-7613-457f-a028-d7cda3cd6eb4,0.1,false,false,near_mint,en,USD
Sunken Hollow,BRC,The Brothers' War Commander,204,normal,rare,1,75872,ebafcb7f-e66c-4f7d-a7d9-ca4b4c0eee9d,0.28,false,false,near_mint,en,USD
Azorius Signet,BRC,The Brothers' War Commander,133,normal,common,1,75504,64ce2373-6b2c-4248-a053-a7fc49f7c480,0.34,false,false,near_mint,en,USD
